"pronoun"	"verb"	"context"	"filename"
"3419"	"we"	"got"	" ``Everything we researched on the guy, everything we heard about him, we got,'' Raiders coach Art Shell said. ``The thing we heard and we saw on film is that he was a tough, tough individual, very competitive. The kind of guy that would throw his body and do whatever it takes to win the football game. If that means he has to take a shot to the mouth, then he'll take that shot to the mouth.'' </P> "	"nyt_eng_199408.gz"
"3420"	"we"	"got"	" ``Everything we researched on the guy, everything we heard about him, we got,'' Raiders coach Art Shell said. ``The thing we heard and we saw on film is that he was a tough, tough individual, very competitive. The kind of guy that would throw his body and do whatever it takes to win the football game. If that means he has to take a shot to the mouth, then he'll take that shot to the mouth.'' </P> "	"nyt_eng_199408.gz"
"71743"	"I"	"got"	" ``I'm tickled to death. The job I want, I got,'' said Edwards, plunging her tatooed arms into pans of soap. ``And it's mine.'' </P> "	"nyt_eng_199609.gz"
"101043"	"he"	"got"	" ``Whatever people didn't buy, he got, so he had a room full of stuff, a lot of sports memorabilia,'' his brother said. Luckily, Kelly was a sports fan. On the last night of his life, he took his two older children, Christopher and Thomas, to a Yankees game. </P> "	"nyt_eng_200111.gz"
"102838"	"they"	"got"	" ``For years and years and years, whatever the trucking industry wanted, they got,'' said Jackie Gillan, vice president of Advocates for Highway and Auto Safety. </P> "	"nyt_eng_200112.gz"
"104259"	"they"	"got"	" The vast amount of work remaining on deregulation is perhaps the clearest proof that Enron's record in lobbying was mixed at best. ``I don't think it was that anything Enron wanted, they got,'' said James Hoecker, a former chairman of the Federal Energy Regulatory Commission. </P> "	"nyt_eng_200201.gz"
"131064"	"I"	"got"	" ``What I wanted out of this case, I got,'' said David Rimmer, the prosecutor. ``I got the truth. I also wanted them to take responsibility. This is the first step toward rehabilitation.'' </P> "	"nyt_eng_200211.gz"
"157822"	"they"	"got"	" Oh, they also wanted a win, which is the point of the whole silly exercise. This, they got, through the hitting auspices of Ray Durham and Edgardo Alfonzo, of Matt Kinney and three other relievers, and even Justin Knoedler, who got his first major league hit. The distance between them and the Padres in the NL West is now a slightly more surmountable six games with 19 left, but Giants in October is still not the way to bet. </P> "	"nyt_eng_200509.gz"
"158793"	"you"	"got"	" It wasn't that long ago that if you mentioned Texas wines in polite society, you got, at best, a polite yeah, sure or, at worst, an impolite guffaw. </P> "	"nyt_eng_200510.gz"
