"pronoun"	"verb"	"context"	"filename"
"12573"	"he"	"continued"	" As Clottes showed a videotape revealing a panel with four horses' heads close together, drawn in charcoal, he said: ``These are one of the great marvels of pre-historic art.'' The artist or artists, he continued, made use of the natural colors of the rock and of natural stone relief to give form and bulges to the animals. </P> "	"nyt_eng_199501.gz"
"13025"	"he"	"continued"	" A 1985 incident in which Simpson smashed the windshield of Nicole's Mercedes, he continued, was a harbinger of things to come. ``It was a warning that what happened to this Mercedes could just as well happen to you,'' Darden said. The aftermath was predictable. ``It became a cycle,'' Darden said. ``Violence, apologies. A period of quiet and calm. Then violence and apologies. Quiet and calm.'' </P> "	"nyt_eng_199501.gz"
"13122"	"he"	"continued"	" ``This case is about a rush to judgment, an obsession to win at any cost and by any means necessary,'' he said. The prosecution, he continued, ``talks about a trail of blood, where there is no trail.'' </P> "	"nyt_eng_199501.gz"
"13200"	"he"	"continued"	" ``The task of the civilian police'' in Haiti ``will be quantitatively greater and qualitatively more demanding than has been the case in previous peacekeeping operations in which United Nations civilian police have been deployed,'' he wrote in a report to the Security Council. Given that added responsibility, he continued, the U.N. contingent, ``like the multinational force at present, may itself have to take coercive action from time to time.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950126.0346 type=story > <HEADLINE> NFL UNION LEADER DEFENDS THE OFTEN-CRITICIZED SALARY CAP </HEADLINE> <DATELINE> MIAMI  (BC-FBN-UNION-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"13300"	"he"	"continued"	" If the church is going to insist on those standards, he continued, then it must be equally diligent in allowing ``those not validly married to have their freedom.'' </P> "	"nyt_eng_199501.gz"
"13445"	"he"	"continued"	" If the church is going to insist on those standards, he continued, then it must be equally diligent in allowing ``those not validly married to have their freedom.'' </P> "	"nyt_eng_199501.gz"
"13450"	"he"	"continued"	" If the church is going to insist on those standards, he continued, then it must be equally diligent in allowing ``those not validly married to have their freedom.'' </P> "	"nyt_eng_199501.gz"
"13529"	"he"	"continued"	" ``It should be noted that the practice of consulting with expert witnesses and instructing them to refrain from producing written reports is often viewed by trial courts with a certain skepticism as a subterfuge to circumvent reciprocal discovery obligations,'' he wrote. Given the complexity of the case and the prominence of the experts, he continued, it seemed ``implausible'' that the reports had not been committed to writing. </P> "	"nyt_eng_199501.gz"
"13531"	"he"	"continued"	" Police negligence, he continued, had hopelessly compromised the delicate process of DNA analysis, which under the best of circumstances could be contaminated by the slightest sneeze and was more vulnerable here because of the small size of the samples and the mixing of evidence. </P> "	"nyt_eng_199501.gz"
"13639"	"he"	"continued"	" Simpson told him, he continued, that he had not beaten his wife, but only pushed her out of bed. And when Edwards moved to arrest him, he recalled, Simpson dismissed the episode as a ``family matter,'' no big deal, and spoke condescendingly to him. ``He said `What makes you so special? Why are you doing this? You guys have been out here eight times before and now you're going to arrest me for this,' and he emphasized this,'' he said. </P> "	"nyt_eng_199501.gz"
"13830"	"she"	"continued"	" Then, she continued, he ``grabbed Nicole, told her to get out of his house, wanted us all out of his house, picked her up, threw her against a wall, picked her up and threw her out of the house.'' She said that her sister fell onto her ``elbows and butt,'' and that Simpson subsequently grabbed her boyfriend and her and threw them out of the house as well. </P> "	"nyt_eng_199502.gz"
"14786"	"he"	"continued"	" Within that range, he continued, ``There are two generations of kids who have grown up pushing buttons more than anything else in their creative lives. There's kind of an evolutionary process going on. If you're under 25, you think nothing of jumping on a database and expecting to be immersed in such a world, whether it's banking, or school, or the library, or whatever. That's what makes Interfilm a plausible idea in the first place.'' </P> "	"nyt_eng_199502.gz"
"15155"	"he"	"continued"	" ``Each generation usually has at least one artist who expresses the reality it experiences, who can articulate the dreams, the hopes, and the frustrations it feels,'' said Mustafa Masnouwi, a novelist who has been censored by the government. Referring to Sanoussi by his nickname, he continued, ``This generation has Bziz.'' </P> "	"nyt_eng_199502.gz"
"15171"	"it"	"continued"	" The computer message, reflecting the covert operators' belief that they are the heart and soul of the CIA, said that ``the agency's standing with the Congress is linked inextricably to the Hill's view of the directorate of operations.'' Therefore, it continued, ``it is imperative to engage members in a variety of initiatives'' to improve the spies' reputation in Congress. </P> "	"nyt_eng_199502.gz"
"15184"	"it"	"continued"	" The computer message, reflecting the covert operators' belief that they are the heart and soul of the CIA, said that ``the agency's standing with the Congress is linked inextricably to the Hill's view of the directorate of operations.'' Therefore, it continued, ``it is imperative to engage members in a variety of initiatives'' to improve the spies' reputation in Congress. </P> "	"nyt_eng_199502.gz"
"15271"	"he"	"continued"	" ``I told them who I was, and something to the effect that I apologized for having to do this this way, but that their daughter had been killed,'' he said. At that point, he continued, Mrs. Simpson's older sister, Denise Brown, ``began to scream over the phone what I believe to be hysterically.'' </P> "	"nyt_eng_199502.gz"
"15312"	"he"	"continued"	" Within that range, he continued, ``There are two generations of kids who have grown up pushing buttons more than anything else in their creative lives. There's kind of an evolutionary process going on. If you're under 25, you think nothing of jumping on a database and expecting to be immersed in such a world, whether it's banking, or school, or the library, or whatever. That's what makes Interfilm a plausible idea in the first place.'' </P> "	"nyt_eng_199502.gz"
"16244"	"he"	"continued"	" Journal deputy managing editor Byron E. Calame defended his paper's piece as ``a business story that took note of a relationship problem.'' That problem, he continued, could augur the break-up of Wenner Media, should the Wenners divorce, with broad implications for advertisers and buyers. </P> "	"nyt_eng_199503.gz"
"16246"	"he"	"continued"	" Journal deputy managing editor Byron E. Calame defended his paper's piece as ``a business story that took note of a relationship problem.'' That problem, he continued, could augur the break-up of Wenner Media, should the Wenners divorce, with broad implications for advertisers and buyers. </P> "	"nyt_eng_199503.gz"
"16281"	"she"	"continued"	" In rejecting the settlement, she continued, Sporkin had jeopardized the ability of antitrust prosecutors to negotiate other agreements with companies under investigation. Prosecutors could no longer assure companies that decisions by the Justice Department would be upheld, she said, and that would be ``an invitation to anarchy.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950307.0326 type=story > <HEADLINE> SAYING DELOITTE MISLED THEM, JURY AWARDS $81.3 MILLION TO KOGER SHAREHOLDERS </HEADLINE> <DATELINE>  (BC-KOGER-AUDIT-SUIT-NYT) </DATELINE> <TEXT> "	"nyt_eng_199503.gz"
"16464"	"he"	"continued"	" ``She did well; it's a difficult thing to do to start out trashing your own witness,'' Bailey said. But her examination, he continued, would open the door to other potentially explosive racial episodes in Fuhrman's past that Judge Ito had previously ruled off-limits. </P> "	"nyt_eng_199503.gz"
"16474"	"he"	"continued"	" ``She did well; it's a difficult thing to do to start out trashing your own witness,'' Bailey said. But her examination, he continued, would open the door to other potentially explosive racial episodes in Fuhrman's past that Judge Ito had previously ruled off-limits. </P> "	"nyt_eng_199503.gz"
"16479"	"he"	"continued"	" ``She did well; it's a difficult thing to do to start out trashing your own witness,'' Bailey said. But her examination, he continued, would open the door to other potentially explosive racial episodes in Fuhrman's past that Judge Ito had previously ruled off-limits. </P> "	"nyt_eng_199503.gz"
"17618"	"he"	"continued"	" But, he continued, that proposal ``never got to President Truman.'' </P> "	"nyt_eng_199503.gz"
"18148"	"he"	"continued"	" At the end of that meeting, he continued, the ``sense of the board'' was that Bolduc should resign. </P> "	"nyt_eng_199503.gz"
"18171"	"he"	"continued"	" At the end of that meeting, he continued, the ``sense of the board'' was that Bolduc should resign. </P> "	"nyt_eng_199503.gz"
"18297"	"he"	"continued"	" ``Very certain,'' replied Cale, who said he lived about a quarter-mile from Simpson and came within 60 yards of his house. But when he left about 7 o'clock the next morning as he was being driven to the airport for a trip to Canada, he continued, the Bronco was there, parked ``at kind of a strange angle.'' </P> "	"nyt_eng_199503.gz"
"18979"	"he"	"continued"	" He decided to go ahead, he continued, even though a study by a consulting firm had raised questions about the savings. </P> "	"nyt_eng_199504.gz"
"19552"	"he"	"continued"	" Perhaps speaking for both, he continued, ``I just want to run fast. I want to have a good year. If I'm not injured or sick, I'll run.'' </P> "	"nyt_eng_199504.gz"
"20109"	"he"	"continued"	" Levy added: ``I think over the next few months, market concern about a hard landing will intensify. Our view is that there is only about a 40 percent chance of a hard landing happening.'' That is a sufficiently strong possibility to be worrisome, he continued, ``but not necessarily something that will happen.'' </P> "	"nyt_eng_199504.gz"
"20263"	"she"	"continued"	" ``It is not the court's role to determine the scope of any particular case,'' wrote Anne Bingaman, the assistant attorney general in charge of antitrust enforcement. Sporkin ``vastly exceeded'' his authority, she continued, and ``converted a Tunney Act proceeding into a sweeping judicial review.'' </P> "	"nyt_eng_199504.gz"
"20374"	"he"	"continued"	" Also suppose, he continued, that the cost of a trial and subsequent appeals would amount to $25 million and would probably force the prosecutors to drop several other cases. </P> "	"nyt_eng_199504.gz"
"20469"	"he"	"continued"	" John Mueller, in The New York Times Book Review, found Rogers' book short on insight and discreet to the point that ``one does not get a terribly rich feel for her personality.'' In discussing her career, he continued, ``she is far more likely to tell us what she wore than what she did.'' </P> "	"nyt_eng_199504.gz"
